,T,NT,stimuli,greedy,action,action*,reward,q,epsilon,alpha,chose_big,fixed_action
42,43,1,"[0.365, 0.355]",1,1,0,0.365,"[[0.356 0.48 ]
 [0.051 0.18 ]
 [0.663 0.673]]",0.0,0.9,1,0
43,44,2,"[0.055, 0.065]",1,1,1,0.065,"[[0.356 0.377]
 [0.051 0.18 ]
 [0.663 0.673]]",0.0,0.9,1,0
44,45,1,"[0.655, 0.665]",1,1,0,0.665,"[[0.356 0.377]
 [0.051 0.077]
 [0.663 0.673]]",0.0,0.9,1,0
45,46,2,"[0.355, 0.365]",1,1,1,0.365,"[[0.356 0.636]
 [0.051 0.077]
 [0.663 0.673]]",0.0,0.9,1,0
46,47,1,"[0.395, 0.405]",1,1,0,0.405,"[[0.356 0.636]
 [0.051 0.336]
 [0.663 0.673]]",0.0,0.9,1,0
47,48,2,"[0.095, 0.105]",1,1,1,0.105,"[[0.356 0.428]
 [0.051 0.336]
 [0.663 0.673]]",0.0,0.9,1,0
48,49,1,"[0.615, 0.625]",1,1,0,0.625,"[[0.356 0.428]
 [0.051 0.128]
 [0.663 0.673]]",0.0,0.9,1,0
49,50,2,"[0.325, 0.315]",1,1,1,0.325,"[[0.356 0.605]
 [0.051 0.128]
 [0.663 0.673]]",0.0,0.9,1,0
50,51,1,"[0.515, 0.505]",1,1,0,0.515,"[[0.356 0.605]
 [0.051 0.305]
 [0.663 0.673]]",0.0,0.9,1,0
51,52,2,"[0.215, 0.205]",1,1,1,0.215,"[[0.356 0.524]
 [0.051 0.305]
 [0.663 0.673]]",0.0,0.9,1,0
52,53,1,"[0.655, 0.665]",1,1,0,0.665,"[[0.356 0.524]
 [0.051 0.224]
 [0.663 0.673]]",0.0,0.9,1,0
53,54,2,"[0.365, 0.355]",1,1,1,0.365,"[[0.356 0.651]
 [0.051 0.224]
 [0.663 0.673]]",0.0,0.9,1,0
54,55,1,"[0.335, 0.345]",1,1,0,0.345,"[[0.356 0.651]
 [0.051 0.351]
 [0.663 0.673]]",0.0,0.9,1,0
55,56,2,"[0.045, 0.035]",1,1,1,0.045,"[[0.356 0.376]
 [0.051 0.351]
 [0.663 0.673]]",0.0,0.9,1,0
