,T,NT,stimuli,greedy,action,action*,reward,q,epsilon,alpha,chose_big,fixed_action
509,510,2,"[0.365, 0.315]",1,1,1,0.365,"[[0.31  0.664]
 [0.026 0.351]
 [0.663 0.62 ]]",0.0,0.9,1,0
510,511,1,"[0.525, 0.475]",1,1,0,0.525,"[[0.31  0.664]
 [0.026 0.364]
 [0.663 0.62 ]]",0.0,0.9,1,0
511,512,2,"[0.225, 0.175]",1,1,1,0.225,"[[0.31  0.539]
 [0.026 0.364]
 [0.663 0.62 ]]",0.0,0.9,1,0
512,513,1,"[0.535, 0.485]",1,1,0,0.535,"[[0.31  0.539]
 [0.026 0.239]
 [0.663 0.62 ]]",0.0,0.9,1,0
513,514,2,"[0.185, 0.235]",1,1,1,0.235,"[[0.31  0.535]
 [0.026 0.239]
 [0.663 0.62 ]]",0.0,0.9,1,0
514,515,1,"[0.455, 0.405]",1,1,0,0.455,"[[0.31  0.535]
 [0.026 0.235]
 [0.663 0.62 ]]",0.0,0.9,1,0
515,516,2,"[0.155, 0.105]",1,1,1,0.155,"[[0.31  0.463]
 [0.026 0.235]
 [0.663 0.62 ]]",0.0,0.9,1,0
516,517,1,"[0.585, 0.635]",1,1,0,0.635,"[[0.31  0.463]
 [0.026 0.163]
 [0.663 0.62 ]]",0.0,0.9,1,0
517,518,2,"[0.285, 0.335]",1,1,1,0.335,"[[0.31  0.618]
 [0.026 0.163]
 [0.663 0.62 ]]",0.0,0.9,1,0
518,519,1,"[0.525, 0.475]",1,1,0,0.525,"[[0.31  0.618]
 [0.026 0.318]
 [0.663 0.62 ]]",0.0,0.9,1,0
519,520,2,"[0.175, 0.225]",1,1,1,0.225,"[[0.31  0.534]
 [0.026 0.318]
 [0.663 0.62 ]]",0.0,0.9,1,0
520,521,1,"[0.395, 0.345]",1,1,0,0.395,"[[0.31  0.534]
 [0.026 0.234]
 [0.663 0.62 ]]",0.0,0.9,1,0
521,522,2,"[0.095, 0.045]",1,1,1,0.095,"[[0.31  0.409]
 [0.026 0.234]
 [0.663 0.62 ]]",0.0,0.9,1,0
522,523,1,"[0.415, 0.465]",1,1,0,0.465,"[[0.31  0.409]
 [0.026 0.109]
 [0.663 0.62 ]]",0.0,0.9,1,0
523,524,2,"[0.165, 0.115]",1,1,1,0.165,"[[0.31  0.459]
 [0.026 0.109]
 [0.663 0.62 ]]",0.0,0.9,1,0
524,525,1,"[0.615, 0.665]",1,1,0,0.665,"[[0.31  0.459]
 [0.026 0.159]
 [0.663 0.62 ]]",0.0,0.9,1,0
525,526,2,"[0.365, 0.315]",1,1,1,0.365,"[[0.31  0.644]
 [0.026 0.159]
 [0.663 0.62 ]]",0.0,0.9,1,0
526,527,1,"[0.415, 0.365]",1,1,0,0.415,"[[0.31  0.644]
 [0.026 0.344]
 [0.663 0.62 ]]",0.0,0.9,1,0
527,528,2,"[0.065, 0.115]",1,1,1,0.115,"[[0.31  0.438]
 [0.026 0.344]
 [0.663 0.62 ]]",0.0,0.9,1,0
528,529,1,"[0.365, 0.415]",1,1,0,0.415,"[[0.31  0.438]
 [0.026 0.138]
 [0.663 0.62 ]]",0.0,0.9,1,0
529,530,2,"[0.115, 0.065]",1,1,1,0.115,"[[0.31  0.417]
 [0.026 0.138]
 [0.663 0.62 ]]",0.0,0.9,1,0
530,531,1,"[0.375, 0.425]",1,1,0,0.425,"[[0.31  0.417]
 [0.026 0.117]
 [0.663 0.62 ]]",0.0,0.9,1,0
531,532,2,"[0.125, 0.075]",1,1,1,0.125,"[[0.31  0.424]
 [0.026 0.117]
 [0.663 0.62 ]]",0.0,0.9,1,0
532,533,1,"[0.565, 0.615]",1,1,0,0.615,"[[0.31  0.424]
 [0.026 0.124]
 [0.663 0.62 ]]",0.0,0.9,1,0
533,534,2,"[0.315, 0.265]",1,1,1,0.315,"[[0.31  0.596]
 [0.026 0.124]
 [0.663 0.62 ]]",0.0,0.9,1,0
534,535,1,"[0.495, 0.445]",1,1,0,0.495,"[[0.31  0.596]
 [0.026 0.296]
 [0.663 0.62 ]]",0.0,0.9,1,0
535,536,2,"[0.195, 0.145]",1,1,1,0.195,"[[0.31  0.505]
 [0.026 0.296]
 [0.663 0.62 ]]",0.0,0.9,1,0
536,537,1,"[0.475, 0.525]",1,1,0,0.525,"[[0.31  0.505]
 [0.026 0.205]
 [0.663 0.62 ]]",0.0,0.9,1,0
537,538,2,"[0.225, 0.175]",1,1,1,0.225,"[[0.31  0.523]
 [0.026 0.205]
 [0.663 0.62 ]]",0.0,0.9,1,0
538,539,1,"[0.355, 0.405]",1,1,0,0.405,"[[0.31  0.523]
 [0.026 0.223]
 [0.663 0.62 ]]",0.0,0.9,1,0
539,540,2,"[0.105, 0.055]",1,1,1,0.105,"[[0.31  0.417]
 [0.026 0.223]
 [0.663 0.62 ]]",0.0,0.9,1,0
540,541,1,"[0.415, 0.465]",1,1,0,0.465,"[[0.31  0.417]
 [0.026 0.117]
 [0.663 0.62 ]]",0.0,0.9,1,0
541,542,2,"[0.115, 0.165]",1,1,1,0.165,"[[0.31  0.46 ]
 [0.026 0.117]
 [0.663 0.62 ]]",0.0,0.9,1,0
542,543,1,"[0.575, 0.525]",1,1,0,0.575,"[[0.31  0.46 ]
 [0.026 0.16 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
543,544,2,"[0.275, 0.225]",1,1,1,0.275,"[[0.31  0.564]
 [0.026 0.16 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
544,545,1,"[0.385, 0.335]",1,1,0,0.385,"[[0.31  0.564]
 [0.026 0.264]
 [0.663 0.62 ]]",0.0,0.9,1,0
545,546,2,"[0.085, 0.035]",1,1,1,0.085,"[[0.31  0.403]
 [0.026 0.264]
 [0.663 0.62 ]]",0.0,0.9,1,0
546,547,1,"[0.575, 0.625]",1,1,0,0.625,"[[0.31  0.403]
 [0.026 0.103]
 [0.663 0.62 ]]",0.0,0.9,1,0
547,548,2,"[0.325, 0.275]",1,1,1,0.325,"[[0.31  0.603]
 [0.026 0.103]
 [0.663 0.62 ]]",0.0,0.9,1,0
548,549,1,"[0.395, 0.345]",1,1,0,0.395,"[[0.31  0.603]
 [0.026 0.303]
 [0.663 0.62 ]]",0.0,0.9,1,0
549,550,2,"[0.095, 0.045]",1,1,1,0.095,"[[0.31  0.416]
 [0.026 0.303]
 [0.663 0.62 ]]",0.0,0.9,1,0
550,551,1,"[0.415, 0.365]",1,1,0,0.415,"[[0.31  0.416]
 [0.026 0.116]
 [0.663 0.62 ]]",0.0,0.9,1,0
551,552,2,"[0.065, 0.115]",1,1,1,0.115,"[[0.31  0.415]
 [0.026 0.116]
 [0.663 0.62 ]]",0.0,0.9,1,0
552,553,1,"[0.385, 0.335]",1,1,0,0.385,"[[0.31  0.415]
 [0.026 0.115]
 [0.663 0.62 ]]",0.0,0.9,1,0
553,554,2,"[0.085, 0.035]",1,1,1,0.085,"[[0.31  0.388]
 [0.026 0.115]
 [0.663 0.62 ]]",0.0,0.9,1,0
554,555,1,"[0.535, 0.485]",1,1,0,0.535,"[[0.31  0.388]
 [0.026 0.088]
 [0.663 0.62 ]]",0.0,0.9,1,0
555,556,2,"[0.235, 0.185]",1,1,1,0.235,"[[0.31  0.52 ]
 [0.026 0.088]
 [0.663 0.62 ]]",0.0,0.9,1,0
556,557,1,"[0.585, 0.635]",1,1,0,0.635,"[[0.31  0.52 ]
 [0.026 0.22 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
557,558,2,"[0.285, 0.335]",1,1,1,0.335,"[[0.31  0.624]
 [0.026 0.22 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
558,559,1,"[0.415, 0.365]",1,1,0,0.415,"[[0.31  0.624]
 [0.026 0.324]
 [0.663 0.62 ]]",0.0,0.9,1,0
559,560,2,"[0.115, 0.065]",1,1,1,0.115,"[[0.31  0.436]
 [0.026 0.324]
 [0.663 0.62 ]]",0.0,0.9,1,0
560,561,1,"[0.425, 0.375]",1,1,0,0.425,"[[0.31  0.436]
 [0.026 0.136]
 [0.663 0.62 ]]",0.0,0.9,1,0
561,562,2,"[0.125, 0.075]",1,1,1,0.125,"[[0.31  0.426]
 [0.026 0.136]
 [0.663 0.62 ]]",0.0,0.9,1,0
562,563,1,"[0.325, 0.375]",1,1,0,0.375,"[[0.31  0.426]
 [0.026 0.126]
 [0.663 0.62 ]]",0.0,0.9,1,0
563,564,2,"[0.075, 0.025]",1,1,1,0.075,"[[0.31  0.38 ]
 [0.026 0.126]
 [0.663 0.62 ]]",0.0,0.9,1,0
564,565,1,"[0.355, 0.305]",1,1,0,0.355,"[[0.31  0.38 ]
 [0.026 0.08 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
565,566,2,"[0.005, 0.055]",1,1,1,0.055,"[[0.31  0.358]
 [0.026 0.08 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
566,567,1,"[0.435, 0.485]",1,1,0,0.485,"[[0.31  0.358]
 [0.026 0.058]
 [0.663 0.62 ]]",0.0,0.9,1,0
567,568,2,"[0.135, 0.185]",1,1,1,0.185,"[[0.31  0.472]
 [0.026 0.058]
 [0.663 0.62 ]]",0.0,0.9,1,0
568,569,1,"[0.385, 0.335]",1,1,0,0.385,"[[0.31  0.472]
 [0.026 0.172]
 [0.663 0.62 ]]",0.0,0.9,1,0
569,570,2,"[0.035, 0.085]",1,1,1,0.085,"[[0.31  0.394]
 [0.026 0.172]
 [0.663 0.62 ]]",0.0,0.9,1,0
570,571,1,"[0.675, 0.625]",1,1,0,0.675,"[[0.31  0.394]
 [0.026 0.094]
 [0.663 0.62 ]]",0.0,0.9,1,0
571,572,2,"[0.375, 0.325]",1,1,1,0.375,"[[0.31  0.647]
 [0.026 0.094]
 [0.663 0.62 ]]",0.0,0.9,1,0
572,573,1,"[0.395, 0.345]",1,1,0,0.395,"[[0.31  0.647]
 [0.026 0.347]
 [0.663 0.62 ]]",0.0,0.9,1,0
573,574,2,"[0.095, 0.045]",1,1,1,0.095,"[[0.31  0.42 ]
 [0.026 0.347]
 [0.663 0.62 ]]",0.0,0.9,1,0
574,575,1,"[0.585, 0.635]",1,1,0,0.635,"[[0.31  0.42 ]
 [0.026 0.12 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
575,576,2,"[0.285, 0.335]",1,1,1,0.335,"[[0.31  0.614]
 [0.026 0.12 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
576,577,1,"[0.475, 0.425]",1,1,0,0.475,"[[0.31  0.614]
 [0.026 0.314]
 [0.663 0.62 ]]",0.0,0.9,1,0
577,578,2,"[0.125, 0.175]",1,1,1,0.175,"[[0.31  0.489]
 [0.026 0.314]
 [0.663 0.62 ]]",0.0,0.9,1,0
578,579,1,"[0.575, 0.525]",1,1,0,0.575,"[[0.31  0.489]
 [0.026 0.189]
 [0.663 0.62 ]]",0.0,0.9,1,0
579,580,2,"[0.275, 0.225]",1,1,1,0.275,"[[0.31  0.566]
 [0.026 0.189]
 [0.663 0.62 ]]",0.0,0.9,1,0
580,581,1,"[0.545, 0.495]",1,1,0,0.545,"[[0.31  0.566]
 [0.026 0.266]
 [0.663 0.62 ]]",0.0,0.9,1,0
581,582,2,"[0.245, 0.195]",1,1,1,0.245,"[[0.31  0.547]
 [0.026 0.266]
 [0.663 0.62 ]]",0.0,0.9,1,0
582,583,1,"[0.445, 0.395]",1,1,0,0.445,"[[0.31  0.547]
 [0.026 0.247]
 [0.663 0.62 ]]",0.0,0.9,1,0
583,584,2,"[0.145, 0.095]",1,1,1,0.145,"[[0.31  0.455]
 [0.026 0.247]
 [0.663 0.62 ]]",0.0,0.9,1,0
584,585,1,"[0.525, 0.575]",1,1,0,0.575,"[[0.31  0.455]
 [0.026 0.155]
 [0.663 0.62 ]]",0.0,0.9,1,0
585,586,2,"[0.275, 0.225]",1,1,1,0.275,"[[0.31  0.563]
 [0.026 0.155]
 [0.663 0.62 ]]",0.0,0.9,1,0
586,587,1,"[0.635, 0.685]",1,1,0,0.685,"[[0.31  0.563]
 [0.026 0.263]
 [0.663 0.62 ]]",0.0,0.9,1,0
587,588,2,"[0.335, 0.385]",1,1,1,0.385,"[[0.31  0.673]
 [0.026 0.263]
 [0.663 0.62 ]]",0.0,0.9,1,0
588,589,1,"[0.555, 0.505]",1,1,0,0.555,"[[0.31  0.673]
 [0.026 0.373]
 [0.663 0.62 ]]",0.0,0.9,1,0
589,590,2,"[0.255, 0.205]",1,1,1,0.255,"[[0.31  0.567]
 [0.026 0.373]
 [0.663 0.62 ]]",0.0,0.9,1,0
590,591,1,"[0.425, 0.375]",1,1,0,0.425,"[[0.31  0.567]
 [0.026 0.267]
 [0.663 0.62 ]]",0.0,0.9,1,0
591,592,2,"[0.075, 0.125]",1,1,1,0.125,"[[0.31  0.439]
 [0.026 0.267]
 [0.663 0.62 ]]",0.0,0.9,1,0
592,593,1,"[0.315, 0.365]",1,1,0,0.365,"[[0.31  0.439]
 [0.026 0.139]
 [0.663 0.62 ]]",0.0,0.9,1,0
593,594,2,"[0.065, 0.015]",1,1,1,0.065,"[[0.31  0.372]
 [0.026 0.139]
 [0.663 0.62 ]]",0.0,0.9,1,0
594,595,1,"[0.475, 0.525]",1,1,0,0.525,"[[0.31  0.372]
 [0.026 0.072]
 [0.663 0.62 ]]",0.0,0.9,1,0
595,596,2,"[0.175, 0.225]",1,1,1,0.225,"[[0.31  0.51 ]
 [0.026 0.072]
 [0.663 0.62 ]]",0.0,0.9,1,0
596,597,1,"[0.655, 0.605]",1,1,0,0.655,"[[0.31  0.51 ]
 [0.026 0.21 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
597,598,2,"[0.355, 0.305]",1,1,1,0.355,"[[0.31  0.64 ]
 [0.026 0.21 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
598,599,1,"[0.665, 0.615]",1,1,0,0.665,"[[0.31  0.64 ]
 [0.026 0.34 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
599,600,2,"[0.365, 0.315]",1,1,1,0.365,"[[0.31  0.663]
 [0.026 0.34 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
600,601,1,"[0.535, 0.585]",1,1,0,0.585,"[[0.31  0.663]
 [0.026 0.363]
 [0.663 0.62 ]]",0.0,0.9,1,0
601,602,2,"[0.235, 0.285]",1,1,1,0.285,"[[0.31  0.593]
 [0.026 0.363]
 [0.663 0.62 ]]",0.0,0.9,1,0
602,603,1,"[0.345, 0.395]",1,1,0,0.395,"[[0.31  0.593]
 [0.026 0.293]
 [0.663 0.62 ]]",0.0,0.9,1,0
603,604,2,"[0.095, 0.045]",1,1,1,0.095,"[[0.31  0.415]
 [0.026 0.293]
 [0.663 0.62 ]]",0.0,0.9,1,0
604,605,1,"[0.655, 0.605]",1,1,0,0.655,"[[0.31  0.415]
 [0.026 0.115]
 [0.663 0.62 ]]",0.0,0.9,1,0
605,606,2,"[0.355, 0.305]",1,1,1,0.355,"[[0.31  0.631]
 [0.026 0.115]
 [0.663 0.62 ]]",0.0,0.9,1,0
606,607,1,"[0.455, 0.405]",1,1,0,0.455,"[[0.31  0.631]
 [0.026 0.331]
 [0.663 0.62 ]]",0.0,0.9,1,0
607,608,2,"[0.155, 0.105]",1,1,1,0.155,"[[0.31  0.473]
 [0.026 0.331]
 [0.663 0.62 ]]",0.0,0.9,1,0
608,609,1,"[0.555, 0.605]",1,1,0,0.605,"[[0.31  0.473]
 [0.026 0.173]
 [0.663 0.62 ]]",0.0,0.9,1,0
609,610,2,"[0.255, 0.305]",1,1,1,0.305,"[[0.31  0.592]
 [0.026 0.173]
 [0.663 0.62 ]]",0.0,0.9,1,0
610,611,1,"[0.435, 0.485]",1,1,0,0.485,"[[0.31  0.592]
 [0.026 0.292]
 [0.663 0.62 ]]",0.0,0.9,1,0
611,612,2,"[0.185, 0.135]",1,1,1,0.185,"[[0.31  0.496]
 [0.026 0.292]
 [0.663 0.62 ]]",0.0,0.9,1,0
612,613,1,"[0.335, 0.385]",1,1,0,0.385,"[[0.31  0.496]
 [0.026 0.196]
 [0.663 0.62 ]]",0.0,0.9,1,0
613,614,2,"[0.085, 0.035]",1,1,1,0.085,"[[0.31  0.396]
 [0.026 0.196]
 [0.663 0.62 ]]",0.0,0.9,1,0
614,615,1,"[0.565, 0.615]",1,1,0,0.615,"[[0.31  0.396]
 [0.026 0.096]
 [0.663 0.62 ]]",0.0,0.9,1,0
615,616,2,"[0.315, 0.265]",1,1,1,0.315,"[[0.31  0.593]
 [0.026 0.096]
 [0.663 0.62 ]]",0.0,0.9,1,0
616,617,1,"[0.685, 0.635]",1,1,0,0.685,"[[0.31  0.593]
 [0.026 0.293]
 [0.663 0.62 ]]",0.0,0.9,1,0
617,618,2,"[0.335, 0.385]",1,1,1,0.385,"[[0.31  0.676]
 [0.026 0.293]
 [0.663 0.62 ]]",0.0,0.9,1,0
618,619,1,"[0.385, 0.335]",1,1,0,0.385,"[[0.31  0.676]
 [0.026 0.376]
 [0.663 0.62 ]]",0.0,0.9,1,0
619,620,2,"[0.085, 0.035]",1,1,1,0.085,"[[0.31  0.414]
 [0.026 0.376]
 [0.663 0.62 ]]",0.0,0.9,1,0
620,621,1,"[0.375, 0.425]",1,1,0,0.425,"[[0.31  0.414]
 [0.026 0.114]
 [0.663 0.62 ]]",0.0,0.9,1,0
621,622,2,"[0.075, 0.125]",1,1,1,0.125,"[[0.31  0.424]
 [0.026 0.114]
 [0.663 0.62 ]]",0.0,0.9,1,0
622,623,1,"[0.465, 0.515]",1,1,0,0.515,"[[0.31  0.424]
 [0.026 0.124]
 [0.663 0.62 ]]",0.0,0.9,1,0
623,624,2,"[0.165, 0.215]",1,1,1,0.215,"[[0.31  0.506]
 [0.026 0.124]
 [0.663 0.62 ]]",0.0,0.9,1,0
624,625,1,"[0.655, 0.605]",1,1,0,0.655,"[[0.31  0.506]
 [0.026 0.206]
 [0.663 0.62 ]]",0.0,0.9,1,0
625,626,2,"[0.305, 0.355]",1,1,1,0.355,"[[0.31  0.64 ]
 [0.026 0.206]
 [0.663 0.62 ]]",0.0,0.9,1,0
626,627,1,"[0.635, 0.685]",1,1,0,0.685,"[[0.31  0.64 ]
 [0.026 0.34 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
627,628,2,"[0.385, 0.335]",1,1,1,0.385,"[[0.31  0.681]
 [0.026 0.34 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
628,629,1,"[0.495, 0.545]",1,1,0,0.545,"[[0.31  0.681]
 [0.026 0.381]
 [0.663 0.62 ]]",0.0,0.9,1,0
629,630,2,"[0.195, 0.245]",1,1,1,0.245,"[[0.31  0.559]
 [0.026 0.381]
 [0.663 0.62 ]]",0.0,0.9,1,0
630,631,1,"[0.565, 0.615]",1,1,0,0.615,"[[0.31  0.559]
 [0.026 0.259]
 [0.663 0.62 ]]",0.0,0.9,1,0
631,632,2,"[0.315, 0.265]",1,1,1,0.315,"[[0.31  0.609]
 [0.026 0.259]
 [0.663 0.62 ]]",0.0,0.9,1,0
632,633,1,"[0.565, 0.615]",1,1,0,0.615,"[[0.31  0.609]
 [0.026 0.309]
 [0.663 0.62 ]]",0.0,0.9,1,0
633,634,2,"[0.265, 0.315]",1,1,1,0.315,"[[0.31  0.614]
 [0.026 0.309]
 [0.663 0.62 ]]",0.0,0.9,1,0
634,635,1,"[0.605, 0.555]",1,1,0,0.605,"[[0.31  0.614]
 [0.026 0.314]
 [0.663 0.62 ]]",0.0,0.9,1,0
635,636,2,"[0.305, 0.255]",1,1,1,0.305,"[[0.31  0.606]
 [0.026 0.314]
 [0.663 0.62 ]]",0.0,0.9,1,0
636,637,1,"[0.415, 0.365]",1,1,0,0.415,"[[0.31  0.606]
 [0.026 0.306]
 [0.663 0.62 ]]",0.0,0.9,1,0
637,638,2,"[0.115, 0.065]",1,1,1,0.115,"[[0.31  0.434]
 [0.026 0.306]
 [0.663 0.62 ]]",0.0,0.9,1,0
638,639,1,"[0.455, 0.405]",1,1,0,0.455,"[[0.31  0.434]
 [0.026 0.134]
 [0.663 0.62 ]]",0.0,0.9,1,0
639,640,2,"[0.105, 0.155]",1,1,1,0.155,"[[0.31  0.453]
 [0.026 0.134]
 [0.663 0.62 ]]",0.0,0.9,1,0
640,641,1,"[0.465, 0.515]",1,1,0,0.515,"[[0.31  0.453]
 [0.026 0.153]
 [0.663 0.62 ]]",0.0,0.9,1,0
641,642,2,"[0.165, 0.215]",1,1,1,0.215,"[[0.31  0.509]
 [0.026 0.153]
 [0.663 0.62 ]]",0.0,0.9,1,0
642,643,1,"[0.615, 0.565]",1,1,0,0.615,"[[0.31  0.509]
 [0.026 0.209]
 [0.663 0.62 ]]",0.0,0.9,1,0
643,644,2,"[0.315, 0.265]",1,1,1,0.315,"[[0.31  0.604]
 [0.026 0.209]
 [0.663 0.62 ]]",0.0,0.9,1,0
644,645,1,"[0.395, 0.445]",1,1,0,0.445,"[[0.31  0.604]
 [0.026 0.304]
 [0.663 0.62 ]]",0.0,0.9,1,0
645,646,2,"[0.095, 0.145]",1,1,1,0.145,"[[0.31  0.461]
 [0.026 0.304]
 [0.663 0.62 ]]",0.0,0.9,1,0
646,647,1,"[0.465, 0.515]",1,1,0,0.515,"[[0.31  0.461]
 [0.026 0.161]
 [0.663 0.62 ]]",0.0,0.9,1,0
647,648,2,"[0.215, 0.165]",1,1,1,0.215,"[[0.31  0.51 ]
 [0.026 0.161]
 [0.663 0.62 ]]",0.0,0.9,1,0
648,649,1,"[0.495, 0.445]",1,1,0,0.495,"[[0.31  0.51 ]
 [0.026 0.21 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
649,650,2,"[0.145, 0.195]",1,1,1,0.195,"[[0.31  0.496]
 [0.026 0.21 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
650,651,1,"[0.315, 0.365]",1,1,0,0.365,"[[0.31  0.496]
 [0.026 0.196]
 [0.663 0.62 ]]",0.0,0.9,1,0
651,652,2,"[0.015, 0.065]",1,1,1,0.065,"[[0.31  0.378]
 [0.026 0.196]
 [0.663 0.62 ]]",0.0,0.9,1,0
652,653,1,"[0.545, 0.495]",1,1,0,0.545,"[[0.31  0.378]
 [0.026 0.078]
 [0.663 0.62 ]]",0.0,0.9,1,0
653,654,2,"[0.245, 0.195]",1,1,1,0.245,"[[0.31  0.528]
 [0.026 0.078]
 [0.663 0.62 ]]",0.0,0.9,1,0
654,655,1,"[0.475, 0.525]",1,1,0,0.525,"[[0.31  0.528]
 [0.026 0.228]
 [0.663 0.62 ]]",0.0,0.9,1,0
655,656,2,"[0.175, 0.225]",1,1,1,0.225,"[[0.31  0.525]
 [0.026 0.228]
 [0.663 0.62 ]]",0.0,0.9,1,0
656,657,1,"[0.545, 0.495]",1,1,0,0.545,"[[0.31  0.525]
 [0.026 0.225]
 [0.663 0.62 ]]",0.0,0.9,1,0
657,658,2,"[0.245, 0.195]",1,1,1,0.245,"[[0.31  0.543]
 [0.026 0.225]
 [0.663 0.62 ]]",0.0,0.9,1,0
658,659,1,"[0.445, 0.395]",1,1,0,0.445,"[[0.31  0.543]
 [0.026 0.243]
 [0.663 0.62 ]]",0.0,0.9,1,0
659,660,2,"[0.145, 0.095]",1,1,1,0.145,"[[0.31  0.455]
 [0.026 0.243]
 [0.663 0.62 ]]",0.0,0.9,1,0
660,661,1,"[0.595, 0.645]",1,1,0,0.645,"[[0.31  0.455]
 [0.026 0.155]
 [0.663 0.62 ]]",0.0,0.9,1,0
661,662,2,"[0.345, 0.295]",1,1,1,0.345,"[[0.31  0.626]
 [0.026 0.155]
 [0.663 0.62 ]]",0.0,0.9,1,0
662,663,1,"[0.355, 0.305]",1,1,0,0.355,"[[0.31  0.626]
 [0.026 0.326]
 [0.663 0.62 ]]",0.0,0.9,1,0
663,664,2,"[0.055, 0.005]",1,1,1,0.055,"[[0.31  0.382]
 [0.026 0.326]
 [0.663 0.62 ]]",0.0,0.9,1,0
664,665,1,"[0.625, 0.675]",1,1,0,0.675,"[[0.31  0.382]
 [0.026 0.082]
 [0.663 0.62 ]]",0.0,0.9,1,0
665,666,2,"[0.325, 0.375]",1,1,1,0.375,"[[0.31  0.646]
 [0.026 0.082]
 [0.663 0.62 ]]",0.0,0.9,1,0
666,667,1,"[0.565, 0.515]",1,1,0,0.565,"[[0.31  0.646]
 [0.026 0.346]
 [0.663 0.62 ]]",0.0,0.9,1,0
667,668,2,"[0.265, 0.215]",1,1,1,0.265,"[[0.31  0.573]
 [0.026 0.346]
 [0.663 0.62 ]]",0.0,0.9,1,0
668,669,1,"[0.535, 0.585]",1,1,0,0.585,"[[0.31  0.573]
 [0.026 0.273]
 [0.663 0.62 ]]",0.0,0.9,1,0
669,670,2,"[0.235, 0.285]",1,1,1,0.285,"[[0.31  0.584]
 [0.026 0.273]
 [0.663 0.62 ]]",0.0,0.9,1,0
670,671,1,"[0.365, 0.315]",1,1,0,0.365,"[[0.31  0.584]
 [0.026 0.284]
 [0.663 0.62 ]]",0.0,0.9,1,0
671,672,2,"[0.065, 0.015]",1,1,1,0.065,"[[0.31  0.387]
 [0.026 0.284]
 [0.663 0.62 ]]",0.0,0.9,1,0
672,673,1,"[0.625, 0.675]",1,1,0,0.675,"[[0.31  0.387]
 [0.026 0.087]
 [0.663 0.62 ]]",0.0,0.9,1,0
673,674,2,"[0.325, 0.375]",1,1,1,0.375,"[[0.31  0.646]
 [0.026 0.087]
 [0.663 0.62 ]]",0.0,0.9,1,0
674,675,1,"[0.625, 0.575]",1,1,0,0.625,"[[0.31  0.646]
 [0.026 0.346]
 [0.663 0.62 ]]",0.0,0.9,1,0
675,676,2,"[0.275, 0.325]",1,1,1,0.325,"[[0.31  0.627]
 [0.026 0.346]
 [0.663 0.62 ]]",0.0,0.9,1,0
676,677,1,"[0.525, 0.475]",1,1,0,0.525,"[[0.31  0.627]
 [0.026 0.327]
 [0.663 0.62 ]]",0.0,0.9,1,0
677,678,2,"[0.225, 0.175]",1,1,1,0.225,"[[0.31  0.535]
 [0.026 0.327]
 [0.663 0.62 ]]",0.0,0.9,1,0
678,679,1,"[0.645, 0.595]",1,1,0,0.645,"[[0.31  0.535]
 [0.026 0.235]
 [0.663 0.62 ]]",0.0,0.9,1,0
679,680,2,"[0.345, 0.295]",1,1,1,0.345,"[[0.31  0.634]
 [0.026 0.235]
 [0.663 0.62 ]]",0.0,0.9,1,0
680,681,1,"[0.325, 0.375]",1,1,0,0.375,"[[0.31  0.634]
 [0.026 0.334]
 [0.663 0.62 ]]",0.0,0.9,1,0
681,682,2,"[0.025, 0.075]",1,1,1,0.075,"[[0.31  0.401]
 [0.026 0.334]
 [0.663 0.62 ]]",0.0,0.9,1,0
682,683,1,"[0.555, 0.605]",1,1,0,0.605,"[[0.31  0.401]
 [0.026 0.101]
 [0.663 0.62 ]]",0.0,0.9,1,0
683,684,2,"[0.255, 0.305]",1,1,1,0.305,"[[0.31  0.585]
 [0.026 0.101]
 [0.663 0.62 ]]",0.0,0.9,1,0
684,685,1,"[0.605, 0.655]",1,1,0,0.655,"[[0.31  0.585]
 [0.026 0.285]
 [0.663 0.62 ]]",0.0,0.9,1,0
685,686,2,"[0.305, 0.355]",1,1,1,0.355,"[[0.31  0.648]
 [0.026 0.285]
 [0.663 0.62 ]]",0.0,0.9,1,0
686,687,1,"[0.605, 0.555]",1,1,0,0.605,"[[0.31  0.648]
 [0.026 0.348]
 [0.663 0.62 ]]",0.0,0.9,1,0
687,688,2,"[0.305, 0.255]",1,1,1,0.305,"[[0.31  0.609]
 [0.026 0.348]
 [0.663 0.62 ]]",0.0,0.9,1,0
688,689,1,"[0.405, 0.355]",1,1,0,0.405,"[[0.31  0.609]
 [0.026 0.309]
 [0.663 0.62 ]]",0.0,0.9,1,0
