,g,episode,trial,m,d,state_id,stimuli,action
81,0.3,41,2,0.48,0.2,1,"[0.28, 0.08]",1
82,0.3,42,1,0.48,0.2,0,"[0.58, 0.38]",1
83,0.3,42,2,0.48,0.2,1,"[0.28, 0.08]",1
84,0.3,43,1,0.5,0.35,0,"[0.325, 0.675]",1
85,0.3,43,2,0.5,0.35,1,"[0.025, 0.375]",1
86,0.3,44,1,0.51,0.05,0,"[0.485, 0.535]",1
87,0.3,44,2,0.51,0.05,1,"[0.235, 0.185]",1
88,0.3,45,1,0.51,0.05,0,"[0.535, 0.485]",1
89,0.3,45,2,0.51,0.05,1,"[0.185, 0.235]",1
90,0.3,46,1,0.52,0.35,0,"[0.695, 0.345]",0
91,0.3,46,2,0.52,0.35,2,"[0.995, 0.645]",1
92,0.3,47,1,0.51,0.2,0,"[0.61, 0.41]",0
93,0.3,47,2,0.51,0.2,2,"[0.91, 0.71]",1
94,0.3,48,1,0.51,0.35,0,"[0.685, 0.335]",1
95,0.3,48,2,0.51,0.35,1,"[0.035, 0.385]",1
96,0.3,49,1,0.52,0.35,0,"[0.345, 0.695]",0
97,0.3,49,2,0.52,0.35,2,"[0.645, 0.995]",1
98,0.3,50,1,0.49,0.2,0,"[0.59, 0.39]",0
99,0.3,50,2,0.49,0.2,2,"[0.89, 0.69]",1
100,0.3,51,1,0.48,0.2,0,"[0.38, 0.58]",1
101,0.3,51,2,0.48,0.2,1,"[0.08, 0.28]",1
102,0.3,52,1,0.49,0.05,0,"[0.465, 0.515]",1
103,0.3,52,2,0.49,0.05,1,"[0.165, 0.215]",1
104,0.3,53,1,0.49,0.2,0,"[0.39, 0.59]",0
105,0.3,53,2,0.49,0.2,2,"[0.69, 0.89]",1
106,0.3,54,1,0.51,0.05,0,"[0.485, 0.535]",1
107,0.3,54,2,0.51,0.05,1,"[0.185, 0.235]",1
108,0.3,55,1,0.51,0.35,0,"[0.685, 0.335]",0
109,0.3,55,2,0.51,0.35,2,"[0.985, 0.635]",1
110,0.3,56,1,0.49,0.2,0,"[0.39, 0.59]",0
111,0.3,56,2,0.49,0.2,2,"[0.69, 0.89]",1
112,0.3,57,1,0.5,0.2,0,"[0.6, 0.4]",1
113,0.3,57,2,0.5,0.2,1,"[0.3, 0.1]",1
114,0.3,58,1,0.49,0.05,0,"[0.465, 0.515]",1
115,0.3,58,2,0.49,0.05,1,"[0.165, 0.215]",1
116,0.3,59,1,0.51,0.05,0,"[0.485, 0.535]",1
117,0.3,59,2,0.51,0.05,1,"[0.185, 0.235]",1
118,0.3,60,1,0.51,0.35,0,"[0.335, 0.685]",0
119,0.3,60,2,0.51,0.35,2,"[0.635, 0.985]",1
120,0.3,61,1,0.51,0.05,0,"[0.535, 0.485]",1
121,0.3,61,2,0.51,0.05,1,"[0.235, 0.185]",1
122,0.3,62,1,0.48,0.2,0,"[0.38, 0.58]",0
123,0.3,62,2,0.48,0.2,2,"[0.88, 0.68]",1
124,0.3,63,1,0.51,0.35,0,"[0.685, 0.335]",1
125,0.3,63,2,0.51,0.35,1,"[0.035, 0.385]",1
126,0.3,64,1,0.49,0.05,0,"[0.515, 0.465]",1
127,0.3,64,2,0.49,0.05,1,"[0.215, 0.165]",1
128,0.3,65,1,0.52,0.2,0,"[0.42, 0.62]",1
129,0.3,65,2,0.52,0.2,1,"[0.12, 0.32]",1
130,0.3,66,1,0.48,0.2,0,"[0.58, 0.38]",0
131,0.3,66,2,0.48,0.2,2,"[0.68, 0.88]",1
132,0.3,67,1,0.49,0.05,0,"[0.465, 0.515]",1
133,0.3,67,2,0.49,0.05,1,"[0.215, 0.165]",1
134,0.3,68,1,0.5,0.2,0,"[0.4, 0.6]",1
135,0.3,68,2,0.5,0.2,1,"[0.1, 0.3]",1
136,0.3,69,1,0.49,0.35,0,"[0.315, 0.665]",0
137,0.3,69,2,0.49,0.35,2,"[0.615, 0.965]",1
138,0.3,70,1,0.49,0.35,0,"[0.665, 0.315]",1
139,0.3,70,2,0.49,0.35,1,"[0.015, 0.365]",1
140,0.3,71,1,0.51,0.35,0,"[0.335, 0.685]",0
141,0.3,71,2,0.51,0.35,2,"[0.635, 0.985]",1
142,0.3,72,1,0.52,0.2,0,"[0.42, 0.62]",0
143,0.3,72,2,0.52,0.2,2,"[0.92, 0.72]",1
144,0.3,73,1,0.49,0.05,0,"[0.465, 0.515]",0
145,0.3,73,2,0.49,0.05,2,"[0.765, 0.815]",1
146,0.3,74,1,0.49,0.35,0,"[0.665, 0.315]",1
147,0.3,74,2,0.49,0.35,1,"[0.015, 0.365]",1
148,0.3,75,1,0.49,0.35,0,"[0.665, 0.315]",0
149,0.3,75,2,0.49,0.35,2,"[0.965, 0.615]",1
150,0.3,76,1,0.48,0.2,0,"[0.38, 0.58]",1
151,0.3,76,2,0.48,0.2,1,"[0.28, 0.08]",1
152,0.3,77,1,0.48,0.35,0,"[0.655, 0.305]",1
153,0.3,77,2,0.48,0.35,1,"[0.005, 0.355]",1
154,0.3,78,1,0.48,0.35,0,"[0.655, 0.305]",1
155,0.3,78,2,0.48,0.35,1,"[0.005, 0.355]",1
156,0.3,79,1,0.5,0.35,0,"[0.675, 0.325]",0
157,0.3,79,2,0.5,0.35,2,"[0.975, 0.625]",1
158,0.3,80,1,0.51,0.2,0,"[0.41, 0.61]",1
159,0.3,80,2,0.51,0.2,1,"[0.31, 0.11]",1
160,0.3,81,1,0.51,0.2,0,"[0.41, 0.61]",1
161,0.3,81,2,0.51,0.2,1,"[0.11, 0.31]",1
162,0.3,82,1,0.5,0.05,0,"[0.475, 0.525]",1
163,0.3,82,2,0.5,0.05,1,"[0.175, 0.225]",1
164,0.3,83,1,0.51,0.35,0,"[0.335, 0.685]",0
165,0.3,83,2,0.51,0.35,2,"[0.635, 0.985]",1
166,0.3,84,1,0.51,0.05,0,"[0.485, 0.535]",1
167,0.3,84,2,0.51,0.05,1,"[0.235, 0.185]",1
168,0.3,85,1,0.52,0.35,0,"[0.695, 0.345]",0
169,0.3,85,2,0.52,0.35,2,"[0.645, 0.995]",1
170,0.3,86,1,0.51,0.35,0,"[0.685, 0.335]",0
171,0.3,86,2,0.51,0.35,2,"[0.985, 0.635]",1
172,0.3,87,1,0.48,0.05,0,"[0.505, 0.455]",1
173,0.3,87,2,0.48,0.05,1,"[0.155, 0.205]",1
