,g,episode,trial,m,d,state_id,stimuli,action
81,0.0,11,2,0.34,0.2,1,"[0.44, 0.24]",0
82,0.0,12,1,0.34,0.35,0,"[0.44, 0.24]",0
83,0.0,12,2,0.34,0.35,2,"[0.165, 0.515]",0
84,0.0,13,1,0.5,0.2,0,"[0.165, 0.515]",0
85,0.0,13,2,0.5,0.2,2,"[0.6, 0.4]",0
86,0.0,14,1,0.82,0.35,0,"[0.6, 0.4]",0
87,0.0,14,2,0.82,0.35,2,"[0.995, 0.645]",0
88,0.0,15,1,0.5,0.35,0,"[0.995, 0.645]",0
89,0.0,15,2,0.5,0.35,2,"[0.325, 0.675]",0
90,0.0,16,1,0.82,0.05,0,"[0.675, 0.325]",0
91,0.0,16,2,0.82,0.05,2,"[0.795, 0.845]",0
92,0.0,17,1,0.34,0.35,0,"[0.795, 0.845]",0
93,0.0,17,2,0.34,0.35,2,"[0.515, 0.165]",0
94,0.0,18,1,0.34,0.2,0,"[0.515, 0.165]",0
95,0.0,18,2,0.34,0.2,2,"[0.44, 0.24]",0
96,0.0,19,1,0.66,0.2,0,"[0.44, 0.24]",0
97,0.0,19,2,0.66,0.2,2,"[0.76, 0.56]",0
98,0.0,20,1,0.82,0.05,0,"[0.56, 0.76]",0
99,0.0,20,2,0.82,0.05,2,"[0.795, 0.845]",0
100,0.0,21,1,0.82,0.2,0,"[0.795, 0.845]",0
101,0.0,21,2,0.82,0.2,2,"[0.92, 0.72]",0
102,0.0,22,1,0.34,0.35,0,"[0.72, 0.92]",0
103,0.0,22,2,0.34,0.35,2,"[0.165, 0.515]",0
104,0.0,23,1,0.34,0.2,0,"[0.165, 0.515]",0
105,0.0,23,2,0.34,0.2,2,"[0.44, 0.24]",0
106,0.0,24,1,0.82,0.2,0,"[0.44, 0.24]",0
107,0.0,24,2,0.82,0.2,2,"[0.72, 0.92]",0
108,0.0,25,1,0.18,0.35,0,"[0.72, 0.92]",0
109,0.0,25,2,0.18,0.35,2,"[0.355, 0.005]",0
110,0.0,26,1,0.18,0.35,0,"[0.355, 0.005]",1
111,0.0,26,2,0.18,0.35,1,"[0.005, 0.355]",0
112,0.0,27,1,0.5,0.35,0,"[0.355, 0.005]",0
113,0.0,27,2,0.5,0.35,2,"[0.675, 0.325]",0
114,0.0,28,1,0.34,0.2,0,"[0.675, 0.325]",0
115,0.0,28,2,0.34,0.2,2,"[0.24, 0.44]",0
116,0.0,29,1,0.18,0.2,0,"[0.24, 0.44]",0
117,0.0,29,2,0.18,0.2,2,"[0.28, 0.08]",0
118,0.0,30,1,0.18,0.2,0,"[0.28, 0.08]",0
119,0.0,30,2,0.18,0.2,2,"[0.28, 0.08]",0
120,-0.3,1,1,0.475,0.05,0,"[0.28, 0.08]",0
121,-0.3,1,2,0.475,0.05,2,"[0.15, 0.2]",0
122,-0.3,2,1,0.51,0.2,0,"[0.45, 0.5]",1
123,-0.3,2,2,0.51,0.2,1,"[0.71, 0.91]",0
124,-0.3,3,1,0.49,0.35,0,"[0.61, 0.41]",0
125,-0.3,3,2,0.49,0.35,2,"[0.015, 0.365]",0
126,-0.3,4,1,0.49,0.35,0,"[0.315, 0.665]",1
127,-0.3,4,2,0.49,0.35,1,"[0.965, 0.615]",0
128,-0.3,5,1,0.51,0.2,0,"[0.315, 0.665]",0
129,-0.3,5,2,0.51,0.2,2,"[0.11, 0.31]",0
130,-0.3,6,1,0.49,0.05,0,"[0.41, 0.61]",0
131,-0.3,6,2,0.49,0.05,2,"[0.215, 0.165]",0
132,-0.3,7,1,0.51,0.05,0,"[0.515, 0.465]",0
133,-0.3,7,2,0.51,0.05,2,"[0.235, 0.185]",0
134,-0.3,8,1,0.48,0.05,0,"[0.485, 0.535]",1
135,-0.3,8,2,0.48,0.05,1,"[0.755, 0.805]",0
136,-0.3,9,1,0.49,0.05,0,"[0.455, 0.505]",0
137,-0.3,9,2,0.49,0.05,2,"[0.165, 0.215]",0
138,-0.3,10,1,0.5,0.35,0,"[0.515, 0.465]",0
139,-0.3,10,2,0.5,0.35,2,"[0.025, 0.375]",0
140,-0.3,11,1,0.49,0.05,0,"[0.675, 0.325]",0
141,-0.3,11,2,0.49,0.05,2,"[0.215, 0.165]",0
142,-0.3,12,1,0.49,0.05,0,"[0.465, 0.515]",0
143,-0.3,12,2,0.49,0.05,2,"[0.215, 0.165]",0
144,-0.3,13,1,0.51,0.2,0,"[0.515, 0.465]",0
145,-0.3,13,2,0.51,0.2,2,"[0.31, 0.11]",0
146,-0.3,14,1,0.51,0.35,0,"[0.61, 0.41]",0
147,-0.3,14,2,0.51,0.35,2,"[0.035, 0.385]",0
148,-0.3,15,1,0.52,0.2,0,"[0.335, 0.685]",0
149,-0.3,15,2,0.52,0.2,2,"[0.32, 0.12]",0
150,-0.3,16,1,0.49,0.05,0,"[0.42, 0.62]",0
151,-0.3,16,2,0.49,0.05,2,"[0.215, 0.165]",0
152,-0.3,17,1,0.51,0.35,0,"[0.515, 0.465]",0
153,-0.3,17,2,0.51,0.35,2,"[0.385, 0.035]",0
154,-0.3,18,1,0.5,0.35,0,"[0.685, 0.335]",0
155,-0.3,18,2,0.5,0.35,2,"[0.375, 0.025]",0
156,-0.3,19,1,0.5,0.2,0,"[0.675, 0.325]",1
157,-0.3,19,2,0.5,0.2,1,"[0.9, 0.7]",0
158,-0.3,20,1,0.49,0.05,0,"[0.6, 0.4]",0
159,-0.3,20,2,0.49,0.05,2,"[0.215, 0.165]",0
160,-0.3,21,1,0.52,0.35,0,"[0.515, 0.465]",1
161,-0.3,21,2,0.52,0.35,1,"[0.995, 0.645]",1
162,-0.3,22,1,0.48,0.35,0,"[0.345, 0.695]",0
163,-0.3,22,2,0.48,0.35,2,"[0.005, 0.355]",0
164,-0.3,23,1,0.52,0.35,0,"[0.655, 0.305]",0
165,-0.3,23,2,0.52,0.35,2,"[0.395, 0.045]",0
166,-0.3,24,1,0.52,0.2,0,"[0.345, 0.695]",0
167,-0.3,24,2,0.52,0.2,2,"[0.32, 0.12]",0
168,-0.3,25,1,0.52,0.05,0,"[0.42, 0.62]",0
169,-0.3,25,2,0.52,0.05,2,"[0.245, 0.195]",0
170,-0.3,26,1,0.5,0.2,0,"[0.495, 0.545]",0
171,-0.3,26,2,0.5,0.2,2,"[0.3, 0.1]",0
172,-0.3,27,1,0.52,0.2,0,"[0.6, 0.4]",0
173,-0.3,27,2,0.52,0.2,2,"[0.32, 0.12]",0
174,-0.3,28,1,0.48,0.35,0,"[0.62, 0.42]",0
175,-0.3,28,2,0.48,0.35,2,"[0.355, 0.005]",0
176,-0.3,29,1,0.48,0.2,0,"[0.305, 0.655]",0
177,-0.3,29,2,0.48,0.2,2,"[0.08, 0.28]",0
178,-0.3,30,1,0.5,0.05,0,"[0.38, 0.58]",0
179,-0.3,30,2,0.5,0.05,2,"[0.225, 0.175]",0
180,0.1,1,1,0.388,0.2,0,"[0.525, 0.475]",0
181,0.1,1,2,0.388,0.2,2,"[0.388, 0.588]",1
182,0.1,2,1,0.39,0.2,0,"[0.288, 0.488]",0
183,0.1,2,2,0.39,0.2,2,"[0.39, 0.59]",0
184,0.1,3,1,0.72,0.05,0,"[0.49, 0.29]",0
185,0.1,3,2,0.72,0.05,2,"[0.845, 0.795]",0
186,0.1,4,1,0.5,0.05,0,"[0.695, 0.745]",0
187,0.1,4,2,0.5,0.05,2,"[0.575, 0.625]",0
188,0.1,5,1,0.72,0.35,0,"[0.475, 0.525]",0
189,0.1,5,2,0.72,0.35,2,"[0.995, 0.645]",0
190,0.1,6,1,0.5,0.2,0,"[0.895, 0.545]",0
191,0.1,6,2,0.5,0.2,2,"[0.7, 0.5]",0
192,0.1,7,1,0.28,0.2,0,"[0.6, 0.4]",0
193,0.1,7,2,0.28,0.2,2,"[0.48, 0.28]",0
194,0.1,8,1,0.72,0.2,0,"[0.18, 0.38]",0
195,0.1,8,2,0.72,0.2,2,"[0.92, 0.72]",0
196,0.1,9,1,0.5,0.05,0,"[0.82, 0.62]",0
197,0.1,9,2,0.5,0.05,2,"[0.625, 0.575]",0
198,0.1,10,1,0.28,0.35,0,"[0.475, 0.525]",0
199,0.1,10,2,0.28,0.35,2,"[0.205, 0.555]",0
200,0.1,11,1,0.28,0.35,0,"[0.105, 0.455]",0
201,0.1,11,2,0.28,0.35,2,"[0.205, 0.555]",0
202,0.1,12,1,0.5,0.2,0,"[0.455, 0.105]",0
203,0.1,12,2,0.5,0.2,2,"[0.5, 0.7]",0
204,0.1,13,1,0.39,0.35,0,"[0.4, 0.6]",0
205,0.1,13,2,0.39,0.35,2,"[0.315, 0.665]",0
206,0.1,14,1,0.28,0.35,0,"[0.565, 0.215]",0
207,0.1,14,2,0.28,0.35,2,"[0.205, 0.555]",0
208,0.1,15,1,0.72,0.35,0,"[0.455, 0.105]",0
209,0.1,15,2,0.72,0.35,2,"[0.995, 0.645]",0
210,0.1,16,1,0.28,0.35,0,"[0.545, 0.895]",0
211,0.1,16,2,0.28,0.35,2,"[0.555, 0.205]",0
212,0.1,17,1,0.39,0.2,0,"[0.455, 0.105]",1
213,0.1,17,2,0.39,0.2,1,"[0.39, 0.19]",0
214,0.1,18,1,0.39,0.35,0,"[0.29, 0.49]",0
215,0.1,18,2,0.39,0.35,2,"[0.315, 0.665]",0
216,0.1,19,1,0.28,0.2,0,"[0.565, 0.215]",0
217,0.1,19,2,0.28,0.2,2,"[0.48, 0.28]",0
218,0.1,20,1,0.61,0.35,0,"[0.38, 0.18]",0
219,0.1,20,2,0.61,0.35,2,"[0.885, 0.535]",0
220,0.1,21,1,0.28,0.35,0,"[0.435, 0.785]",0
221,0.1,21,2,0.28,0.35,2,"[0.205, 0.555]",0
222,0.1,22,1,0.72,0.35,0,"[0.455, 0.105]",0
223,0.1,22,2,0.72,0.35,2,"[0.995, 0.645]",0
224,0.1,23,1,0.28,0.05,0,"[0.895, 0.545]",0
225,0.1,23,2,0.28,0.05,2,"[0.405, 0.355]",0
226,0.1,24,1,0.5,0.35,0,"[0.305, 0.255]",0
227,0.1,24,2,0.5,0.35,2,"[0.425, 0.775]",1
