,alpha,temperature,agent_state,q_table,correct
26,0.9,12.709329141645005,2,"[[0.5715, 0.6165], [0.43416000000000005, 0.396], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.28404], [0.0, 0.396], [0.0, 0.691605], [0.0, 0.9802125]]",0
27,0.9,12.709329141645005,7,"[[0.5715, 0.6165], [0.43416000000000005, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.28404], [0.0, 0.396], [0.0, 0.691605], [0.0, 0.9802125]]",1
28,0.9,11.438396227480505,1,"[[0.5715, 0.6165], [0.43416000000000005, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.28404], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",0
29,0.9,11.438396227480505,5,"[[0.5715, 0.6165], [0.5150520000000001, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.28404], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",1
30,0.9,10.294556604732454,1,"[[0.5715, 0.6165], [0.5150520000000001, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.424404], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",0
31,0.9,10.294556604732454,5,"[[0.5715, 0.6165], [1.0814688000000001, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.424404], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",1
32,0.9,9.26510094425921,0,"[[0.5715, 0.6165], [1.0814688000000001, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",1
33,0.9,9.26510094425921,4,"[[0.5715, 1.377], [1.0814688000000001, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",1
34,0.9,8.33859084983329,2,"[[0.5715, 1.377], [1.0814688000000001, 0.396], [1.320894, 1.834155], [0.0, 0.6165], [0.0, 0.8221499999999999], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",0
35,0.9,8.33859084983329,7,"[[0.5715, 1.377], [1.0814688000000001, 0.396], [1.43678385, 1.834155], [0.0, 0.6165], [0.0, 0.8221499999999999], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.9646605], [0.0, 0.9802125]]",1
36,0.9,7.504731764849961,2,"[[0.5715, 1.377], [1.0814688000000001, 0.396], [1.43678385, 1.834155], [0.0, 0.6165], [0.0, 0.8221499999999999], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.9802125]]",1
37,0.9,7.504731764849961,8,"[[0.5715, 1.377], [1.0814688000000001, 0.396], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.8221499999999999], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.9802125]]",1
38,0.9,6.754258588364965,0,"[[0.5715, 1.377], [1.0814688000000001, 0.396], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.8221499999999999], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",1
39,0.9,6.754258588364965,4,"[[0.5715, 1.494135], [1.0814688000000001, 0.396], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.8221499999999999], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",1
40,0.9,6.078832729528468,1,"[[0.5715, 1.494135], [1.0814688000000001, 0.396], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",0
41,0.9,6.078832729528468,5,"[[0.5715, 1.494135], [1.53954324, 0.396], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.8704404000000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",1
42,0.9,5.470949456575622,1,"[[0.5715, 1.494135], [1.53954324, 0.396], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.9150440400000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",1
43,0.9,5.470949456575622,6,"[[0.5715, 1.494135], [1.53954324, 1.2240000000000002], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.9150440400000001], [0.0, 0.396], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",1
44,0.9,4.923854510918059,2,"[[0.5715, 1.494135], [1.53954324, 1.2240000000000002], [1.43678385, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",0
45,0.9,4.923854510918059,7,"[[0.5715, 1.494135], [1.53954324, 1.2240000000000002], [1.34334783, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.8479660499999999], [0.0, 0.56152125]]",1
46,0.9,4.431469059826253,0,"[[0.5715, 1.494135], [1.53954324, 1.2240000000000002], [1.34334783, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.8362966049999999], [0.0, 0.56152125]]",1
47,0.9,4.431469059826253,4,"[[0.5715, 1.2507570000000001], [1.53954324, 1.2240000000000002], [1.34334783, 1.52910675], [0.0, 0.6165], [0.0, 0.6987150000000001], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.8362966049999999], [0.0, 0.56152125]]",1
48,0.9,3.9883221538436278,2,"[[0.5715, 1.2507570000000001], [1.53954324, 1.2240000000000002], [1.34334783, 1.52910675], [0.0, 0.6165], [0.0, 0.5423715], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.8362966049999999], [0.0, 0.56152125]]",0
49,0.9,3.9883221538436278,7,"[[0.5715, 1.2507570000000001], [1.53954324, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.6165], [0.0, 0.5423715], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.8362966049999999], [0.0, 0.56152125]]",1
50,0.9,3.589489938459265,1,"[[0.5715, 1.2507570000000001], [1.53954324, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.6165], [0.0, 0.5423715], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",0
51,0.9,3.589489938459265,5,"[[0.5715, 1.2507570000000001], [1.48149396, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.6165], [0.0, 0.5423715], [0.0, 0.9150440400000001], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
52,0.9,3.2305409446133386,0,"[[0.5715, 1.2507570000000001], [1.48149396, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.6165], [0.0, 0.5423715], [0.0, 0.775504404], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",0
53,0.9,3.2305409446133386,3,"[[1.0394999999999999, 1.2507570000000001], [1.48149396, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.6165], [0.0, 0.5423715], [0.0, 0.775504404], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
54,0.9,2.907486850152005,0,"[[1.0394999999999999, 1.2507570000000001], [1.48149396, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.5423715], [0.0, 0.775504404], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
55,0.9,2.907486850152005,4,"[[1.0394999999999999, 1.37371005], [1.48149396, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.5423715], [0.0, 0.775504404], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
56,0.9,2.6167381651368045,1,"[[1.0394999999999999, 1.37371005], [1.48149396, 1.2240000000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.81473715], [0.0, 0.775504404], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
57,0.9,2.6167381651368045,6,"[[1.0394999999999999, 1.37371005], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.81473715], [0.0, 0.775504404], [0.0, 0.8676], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
58,0.9,2.355064348623124,0,"[[1.0394999999999999, 1.37371005], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.81473715], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
59,0.9,2.355064348623124,4,"[[1.0394999999999999, 1.63113444], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.81473715], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
60,0.9,50.0,0,"[[1.0394999999999999, 1.63113444], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.841973715], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",0
61,0.9,50.0,4,"[[1.0394999999999999, 1.2925897874999999], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.841973715], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
62,0.9,45.0,0,"[[1.0394999999999999, 1.2925897874999999], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
63,0.9,45.0,3,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.53415], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
64,0.9,40.5,2,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 1.5872400000000002], [1.4675017274999997, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",0
65,0.9,40.5,7,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 1.5872400000000002], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.9791296604999999], [0.0, 0.56152125]]",1
66,0.9,36.45,1,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 1.5872400000000002], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
67,0.9,36.45,6,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 1.1944080000000001], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.77076], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
68,0.9,32.80500000000001,1,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 1.1944080000000001], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.32907600000000004], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
69,0.9,32.80500000000001,6,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.32907600000000004], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
70,0.9,29.524500000000007,0,"[[1.1111849999999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
71,0.9,29.524500000000007,3,"[[1.3800419999999998, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.52910675], [0.0, 0.714915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
72,0.9,26.572050000000008,2,"[[1.3800419999999998, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.52910675], [0.0, 0.8319915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
73,0.9,26.572050000000008,8,"[[1.3800419999999998, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.1667798], [0.0, 0.8319915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.56152125]]",1
74,0.9,23.914845000000007,0,"[[1.3800419999999998, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.1667798], [0.0, 0.8319915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.47465212500000004]]",1
75,0.9,23.914845000000007,3,"[[1.5122965499999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.1667798], [0.0, 0.8319915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.47465212500000004]]",1
76,0.9,21.523360500000006,2,"[[1.5122965499999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.1667798], [0.0, 0.84369915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.47465212500000004]]",1
77,0.9,21.523360500000006,8,"[[1.5122965499999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.2503648925000002], [0.0, 0.84369915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.47465212500000004]]",1
78,0.9,19.371024450000007,2,"[[1.5122965499999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.2214668672, 1.2503648925000002], [0.0, 0.84369915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.6639652125000001]]",0
79,0.9,19.371024450000007,7,"[[1.5122965499999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.140418356165, 1.2503648925000002], [0.0, 0.84369915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.69641296605], [0.0, 0.6639652125000001]]",1
80,0.9,17.433922005000007,0,"[[1.5122965499999999, 1.2925897874999999], [1.48149396, 0.9556092], [1.140418356165, 1.2503648925000002], [0.0, 0.84369915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
81,0.9,17.433922005000007,3,"[[1.3380588900000001, 1.2925897874999999], [1.48149396, 0.9556092], [1.140418356165, 1.2503648925000002], [0.0, 0.84369915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
82,0.9,15.690529804500006,0,"[[1.3380588900000001, 1.2925897874999999], [1.48149396, 0.9556092], [1.140418356165, 1.2503648925000002], [0.0, 0.646869915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",0
83,0.9,15.690529804500006,4,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 0.9556092], [1.140418356165, 1.2503648925000002], [0.0, 0.646869915], [0.0, 0.36589737149999996], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
84,0.9,14.121476824050006,1,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 0.9556092], [1.140418356165, 1.2503648925000002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
85,0.9,14.121476824050006,6,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.26817776], [1.140418356165, 1.2503648925000002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.4829076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
86,0.9,12.709329141645005,2,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.26817776], [1.140418356165, 1.2503648925000002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.69629076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
87,0.9,12.709329141645005,8,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.26817776], [1.140418356165, 1.5281051804999999], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.69629076], [0.0, 0.866141296605], [0.0, 0.6639652125000001]]",1
88,0.9,11.438396227480505,2,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.26817776], [1.140418356165, 1.5281051804999999], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.69629076], [0.0, 0.866141296605], [0.0, 0.7818965212500001]]",1
89,0.9,11.438396227480505,8,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.26817776], [1.140418356165, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.69629076], [0.0, 0.866141296605], [0.0, 0.7818965212500001]]",1
90,0.9,10.294556604732454,1,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.26817776], [1.140418356165, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.69629076], [0.0, 0.866141296605], [0.0, 0.6946896521250001]]",1
91,0.9,10.294556604732454,6,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.3924794600000001], [1.140418356165, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.69629076], [0.0, 0.866141296605], [0.0, 0.6946896521250001]]",1
92,0.9,9.26510094425921,2,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.3924794600000001], [1.140418356165, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.6186290759999999], [0.0, 0.866141296605], [0.0, 0.6946896521250001]]",0
93,0.9,9.26510094425921,7,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.3924794600000001], [1.087069002561, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.6186290759999999], [0.0, 0.866141296605], [0.0, 0.6946896521250001]]",1
94,0.9,8.33859084983329,1,"[[1.3380588900000001, 0.8320666130999999], [1.48149396, 1.3924794600000001], [1.087069002561, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.6186290759999999], [0.0, 0.6851141296605], [0.0, 0.6946896521250001]]",1
95,0.9,8.33859084983329,5,"[[1.3380588900000001, 0.8320666130999999], [1.1071033596, 1.3924794600000001], [1.087069002561, 1.5630173871750002], [0.0, 0.646869915], [0.0, 0.32008973715], [0.0, 0.775504404], [0.0, 0.6186290759999999], [0.0, 0.6851141296605], [0.0, 0.6946896521250001]]",1
